# Bend, Stretch, theta1, theta1_predicted, error1, theta2, theta2_predicted, error2
42.94,4.23,20.93,15.81,5.12,3.60,5.29,1.69
42.97,4.11,20.29,15.88,4.41,3.55,5.16,1.60
43.36,4.11,20.08,15.97,4.11,3.58,5.21,1.63
41.88,3.92,19.95,15.70,4.25,3.41,4.79,1.38
41.75,3.92,19.84,15.67,4.17,3.41,4.77,1.37
42.39,3.92,19.35,15.82,3.53,3.34,4.87,1.52
42.22,3.59,19.20,15.93,3.27,3.22,4.48,1.25
42.91,3.59,19.07,16.09,2.98,3.12,4.57,1.45
43.12,3.42,18.81,16.21,2.59,3.05,4.41,1.36
42.72,3.42,18.77,16.12,2.65,3.02,4.35,1.33
43.72,3.31,18.57,16.05,2.52,3.01,4.41,1.40
43.44,3.31,18.50,16.21,2.29,3.03,4.34,1.31
43.92,3.31,18.54,15.94,2.60,3.10,4.46,1.36
44.73,3.36,18.60,15.58,3.02,3.15,4.68,1.53
44.72,3.36,18.70,15.59,3.11,3.29,4.68,1.39
45.17,3.95,19.38,16.36,3.02,4.03,5.30,1.27
45.73,3.95,19.81,16.06,3.75,4.27,5.43,1.16
46.78,5.89,20.92,18.32,2.60,4.81,7.63,2.83
46.61,5.89,21.59,18.31,3.27,5.03,7.64,2.61
46.77,5.89,23.73,18.32,5.41,5.70,7.63,1.94
48.86,7.97,24.43,14.52,9.91,5.86,31.99,26.13
49.03,7.97,25.07,14.48,10.59,6.01,31.47,25.46
49.14,7.97,26.75,14.46,12.29,6.44,31.14,24.70
50.67,9.22,27.27,17.88,9.39,6.55,35.52,28.97
51.70,9.22,27.71,16.01,11.70,6.75,40.22,33.47
52.06,10.44,28.99,22.95,6.04,7.37,28.01,20.64
53.08,10.44,29.49,21.75,7.73,7.52,34.24,26.72
53.25,11.75,30.63,31.04,0.41,7.80,10.96,3.16
53.80,11.75,31.25,27.49,3.76,7.96,16.53,8.57
55.03,11.75,33.17,22.63,10.54,8.51,27.88,19.37
56.28,13.30,33.87,33.59,0.27,8.61,10.37,1.76
57.08,13.30,34.59,29.74,4.85,8.66,15.97,7.30
57.72,14.02,36.80,34.42,2.38,8.84,11.97,3.13
57.11,14.02,37.53,35.67,1.86,8.89,10.73,1.84
57.89,15.03,39.00,39.54,0.54,9.03,8.93,0.09
57.33,15.03,39.81,39.76,0.05,9.08,9.23,0.15
57.64,15.03,42.37,39.67,2.69,9.22,9.03,0.18
57.44,16.59,43.13,43.26,0.13,9.41,10.85,1.44
57.02,16.59,44.01,43.04,0.97,9.54,11.32,1.78
57.11,17.64,46.51,48.46,1.95,10.13,12.35,2.21
57.56,17.64,47.38,48.73,1.35,10.29,12.01,1.72
57.31,18.73,49.18,51.25,2.08,10.57,12.35,1.78
58.66,18.73,50.05,52.10,2.05,10.76,11.34,0.58
58.47,18.73,52.71,51.98,0.73,11.12,11.47,0.35
58.48,19.86,53.55,54.18,0.63,11.18,13.01,1.82
59.27,19.86,54.40,53.72,0.68,11.22,12.99,1.77
59.58,20.27,56.34,55.59,0.75,11.44,13.06,1.62
